"URLLength","DomainLength","TLDEncoding","NoOfLettersInURL","NoOfDegitsInURL","NoOfSpecialCharsInURL","IsHTTPS","LineOfCode","LargestLineLength","HasTitle","NoOfReference","DomainTitleMatchScore","URLTitleMatchScore","HasFavicon","Robots","IsResponsive","NoOfExternalFiles","HasDescription","HasSocialNet","HasCopyrightInfo","label"
27,20,0.545212198763062,14,0,1,1,2733,19701,1,769,100,100,1,0,0,71,0,1,1,1
31,25,0.545212198763062,19,0,1,0,2,2826,1,2,100,100,0,0,1,1,0,0,0,0
44,35,0.545212198763062,31,2,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
38,30,0.545212198763062,22,6,2,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
25,19,0.545212198763062,13,0,1,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0
31,24,0.545212198763062,18,0,1,1,6804,407,1,94,100,100,1,1,1,60,1,1,1,1
24,17,0.545212198763062,9,3,1,0,14,670,1,0,100,100,0,0,0,2,1,0,0,0
25,18,0.545212198763062,12,0,1,1,3998,1288,1,70,0,0,0,0,0,35,0,0,0,1
29,22,0.545212198763062,16,0,1,1,6416,1594,1,769,100,100,1,0,1,372,1,1,0,1
23,16,0.545212198763062,10,0,1,1,745,420,1,51,100,100,1,1,1,15,1,1,1,1
23,16,0.545212198763062,10,0,1,1,252,316,1,65,100,100,0,0,1,5,0,0,0,1
27,20,0.545212198763062,14,0,1,1,1546,1534,1,416,83.33333333,83.33333333,0,0,1,78,1,1,1,1
24,17,0.545212198763062,11,0,1,1,613,9381,1,237,100,100,1,1,0,90,1,1,1,1
23,16,0.545212198763062,10,0,1,1,649,615,1,151,75,75,1,0,1,57,1,1,1,1
34,27,0.545212198763062,21,0,1,1,1932,2688,1,71,100,100,0,0,1,124,1,1,1,1
25,18,0.545212198763062,12,0,1,1,577,3502,1,122,100,100,1,0,1,58,1,1,1,1
20,13,0.545212198763062,7,0,1,1,3090,9381,1,188,100,100,1,1,1,111,1,1,1,1
22,15,0.545212198763062,9,0,1,1,6490,22382,1,14,100,100,1,0,1,27,1,1,0,1
21,15,0.545212198763062,9,0,1,0,9,42,1,0,100,100,0,0,0,0,0,0,0,0
47,39,0.545212198763062,37,0,2,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
21,14,0.545212198763062,7,1,1,1,711,2201,1,55,100,100,1,0,1,58,0,1,1,1
22,15,0.545212198763062,8,0,2,1,675,9381,1,142,100,100,1,1,1,80,1,0,1,1
26,19,0.545212198763062,13,0,1,1,777,1651,1,167,100,100,0,0,1,19,1,1,0,1
21,14,0.545212198763062,8,0,1,1,148,607,1,29,100,100,0,1,1,19,1,0,1,1
20,13,0.545212198763062,7,0,1,1,724,532,1,77,100,100,1,0,1,60,0,1,1,1
24,17,0.545212198763062,11,0,1,1,241,2129,1,59,100,100,1,1,1,38,0,1,1,1
33,27,0.545212198763062,21,0,1,0,14,221,0,1,0,0,0,0,0,1,0,0,0,0
34,28,0.545212198763062,22,0,1,0,2,41,0,0,0,0,0,0,0,0,0,0,0,0
27,20,0.545212198763062,14,0,1,1,519,9381,1,278,100,100,0,1,1,42,1,1,0,1
38,27,0.545212198763062,21,4,5,1,2,2281,1,1,0,0,0,0,1,2,0,0,0,0
23,16,0.545212198763062,10,0,1,1,261,304,1,28,0,0,1,0,1,38,1,0,1,1
25,18,0.545212198763062,12,0,1,1,3064,20539,1,497,100,100,0,0,1,29,1,1,1,1
40,32,0.545212198763062,19,11,2,1,3,100000,0,1,3.571428571,3.571428571,0,0,0,2,0,0,0,0
27,20,0.545212198763062,14,0,1,1,958,2677,1,76,100,100,0,1,1,46,1,1,1,1
25,19,0.545212198763062,6,7,1,0,25,137,1,0,100,100,0,0,0,0,0,0,0,0
30,23,0.545212198763062,17,0,1,1,1244,21012,1,125,100,100,1,0,1,53,1,1,1,1
22,15,0.545212198763062,9,0,1,1,521,3262,1,19,100,100,1,0,1,25,1,1,1,1
19,10,0.545212198763062,9,0,2,1,35,126,1,0,100,100,0,1,1,1,0,0,0,0
29,22,0.545212198763062,16,0,1,1,538,1902,1,169,100,100,1,0,1,59,1,1,1,1
23,16,0.545212198763062,10,0,1,1,629,630,1,440,100,100,0,0,0,15,1,0,1,1
25,19,0.545212198763062,13,0,1,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0
34,25,0.545212198763062,21,2,3,1,2,2281,1,1,0,0,0,0,1,2,0,0,0,0
33,25,0.545212198763062,16,6,3,1,68,80,1,1,0,0,0,0,0,0,0,0,0,0
30,23,0.545212198763062,17,0,1,1,7023,66872,1,253,100,100,1,0,1,159,1,1,1,1
25,18,0.545212198763062,15,2,1,0,8,78,1,2,100,100,0,0,0,0,0,0,0,0
40,32,0.545212198763062,29,1,3,0,121,149,0,1,0,0,0,0,0,5,0,0,0,0
38,30,0.545212198763062,28,0,2,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
24,17,0.545212198763062,11,0,1,1,995,9217,1,127,100,100,0,0,1,68,1,1,1,1
36,28,0.545212198763062,21,4,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
20,13,0.545212198763062,7,0,1,1,2802,2964,1,907,100,100,0,0,1,39,1,1,1,1
20,13,0.545212198763062,7,0,1,1,6552,14587,1,255,100,100,1,1,1,68,1,1,1,1
44,23,0.545212198763062,31,0,5,1,51,129,0,0,0,0,0,0,0,3,0,0,0,0
23,12,0.545212198763062,13,0,2,1,35,126,1,0,0,100,0,1,1,1,0,0,0,0
40,32,0.545212198763062,22,6,4,1,68,80,1,1,0,0,0,0,0,0,0,0,0,0
23,16,0.545212198763062,10,0,1,1,609,342,1,26,100,100,1,1,1,56,1,1,1,1
22,15,0.545212198763062,9,0,1,1,1825,444,1,175,100,100,1,0,1,81,1,1,1,1
34,25,0.545212198763062,16,6,4,1,68,80,1,1,0,0,0,0,0,0,0,0,0,0
80,19,0.545212198763062,61,6,5,1,2,143,0,0,0,0,0,0,0,0,0,0,0,0
28,21,0.545212198763062,15,0,1,1,280,2110,1,108,0,0,1,0,1,49,1,1,1,1
53,44,0.545212198763062,35,4,6,1,645,352,1,4,0,0,1,0,0,6,0,0,0,0
22,15,0.545212198763062,9,0,1,1,1089,9381,1,183,100,100,0,1,1,55,0,1,1,1
40,33,0.545212198763062,30,0,3,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0
36,27,0.545212198763062,24,1,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
45,36,0.545212198763062,31,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
27,20,0.545212198763062,14,0,1,1,1517,25947,1,350,100,100,0,1,1,50,0,0,1,1
23,16,0.545212198763062,10,0,1,1,585,224,1,64,0,0,0,0,1,38,1,1,1,1
24,17,0.545212198763062,11,0,1,1,734,675,1,351,100,100,0,0,1,71,1,1,1,1
30,24,0.545212198763062,18,0,1,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0
26,19,0.545212198763062,13,0,1,1,1493,1809,1,64,100,100,1,1,1,20,1,1,1,1
30,23,0.545212198763062,17,0,1,1,446,1221,1,290,100,100,0,0,1,64,1,1,1,1
31,25,0.545212198763062,19,0,1,0,2,2826,1,2,100,100,0,0,1,1,0,0,0,0
38,32,0.545212198763062,26,0,1,0,2,48,0,0,0,0,0,0,0,0,0,0,0,0
32,26,0.545212198763062,20,0,1,0,4,72,0,1,0,0,0,0,0,0,0,0,0,0
28,20,0.545212198763062,12,3,2,0,4,67,0,2,0,0,0,0,0,0,0,0,0,0
35,29,0.545212198763062,23,0,1,0,2,44,0,0,0,0,0,0,0,0,0,0,0,0
30,23,0.545212198763062,17,0,1,1,2322,1024,1,472,100,100,1,0,1,45,1,1,1,1
24,18,0.545212198763062,12,0,1,0,2,2826,1,2,100,100,0,0,1,1,0,0,0,0
31,24,0.545212198763062,18,0,1,1,1412,16933,1,71,100,100,1,0,1,23,1,1,0,1
39,32,0.545212198763062,26,0,1,1,716,8047,1,169,100,100,0,1,1,35,1,0,1,1
19,12,0.545212198763062,6,0,1,1,3088,1139,1,388,100,100,1,0,1,138,1,1,1,1
98,15,0.545212198763062,74,7,9,1,3,2256,1,3,0,0,1,0,1,1,0,0,1,0
24,17,0.545212198763062,11,0,1,1,458,10238,1,147,100,100,1,1,1,31,1,0,1,1
27,20,0.545212198763062,13,0,2,1,1918,8047,1,346,100,100,1,1,1,39,1,1,1,1
30,23,0.545212198763062,16,0,2,1,5734,2677,1,362,100,100,1,0,1,122,1,1,1,1
30,19,0.545212198763062,17,3,2,1,35,126,1,0,0,100,0,1,1,1,0,0,0,0
36,29,0.545212198763062,23,0,1,1,3964,51357,1,143,100,100,0,0,1,82,1,1,1,1
23,16,0.545212198763062,10,0,1,1,945,9381,1,193,100,100,1,1,1,77,1,1,1,1
32,25,0.545212198763062,19,0,1,1,846,13044,1,81,100,100,0,1,0,48,1,1,1,1
75,28,0.545212198763062,59,5,4,0,13,123,1,2,0,0,0,0,0,0,0,0,0,0
26,20,0.545212198763062,14,0,1,0,2,2826,1,2,100,100,0,0,1,1,0,0,0,0
28,21,0.545212198763062,15,0,1,1,2919,14684,1,75,100,100,1,0,1,66,1,1,0,1
24,17,0.545212198763062,11,0,1,1,3044,2675,1,101,100,100,1,0,1,62,1,0,1,1
23,16,0.545212198763062,10,0,1,1,1254,1224,1,95,100,100,0,0,1,79,1,1,0,1
28,21,0.545212198763062,15,0,1,1,2346,9744,1,43,100,100,0,0,1,51,1,1,1,1
20,14,0.545212198763062,8,0,1,0,64,151,1,4,100,100,0,1,1,10,1,0,0,0
22,16,0.545212198763062,10,0,1,0,9,50,1,0,100,100,0,0,0,0,0,0,0,0
40,32,0.545212198763062,29,0,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
29,22,0.545212198763062,16,0,1,1,1013,8217,1,106,100,100,1,0,1,43,1,1,1,1
35,27,0.545212198763062,20,4,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
30,23,0.545212198763062,17,0,1,1,4493,15576,1,109,100,100,1,0,1,51,1,1,1,1
27,20,0.545212198763062,14,0,1,1,1415,9381,1,384,100,100,0,1,1,82,1,1,1,1
113,49,0.545212198763062,91,6,8,1,416,97263,0,8,0,1,0,0,0,6,0,0,0,0
22,15,0.545212198763062,9,0,1,1,3113,5350,1,830,100,100,0,0,1,218,1,1,1,1
19,12,0.545212198763062,6,0,1,1,2409,36376,1,192,100,100,1,0,1,230,0,1,0,1
22,16,0.545212198763062,9,1,1,0,47,234,1,9,100,100,0,0,0,4,1,0,1,0
34,28,0.545212198763062,20,0,3,0,2,41,0,0,0,0,0,0,0,0,0,0,0,0
21,14,0.545212198763062,8,0,1,1,392,232,1,27,100,100,0,0,1,27,0,1,0,1
24,18,0.545212198763062,10,1,2,0,2,34,0,0,10,10,0,0,0,0,0,0,0,0
23,16,0.545212198763062,10,0,1,1,447,6769,1,91,100,100,1,0,1,47,0,1,1,1
34,27,0.545212198763062,20,0,2,1,2082,4049,1,408,100,100,1,1,1,99,1,1,1,1
38,31,0.545212198763062,25,0,1,1,16723,15261,1,59,0,0,1,0,1,149,1,0,1,1
33,26,0.545212198763062,20,0,1,1,6416,6142,1,165,100,100,1,0,1,92,1,1,1,1
29,22,0.545212198763062,16,0,1,1,1098,15038,1,139,100,100,0,1,1,67,0,1,1,1
33,26,0.545212198763062,20,0,1,1,1026,3421,1,52,0,0,0,0,1,71,1,1,1,1
41,33,0.545212198763062,31,0,2,1,29,320,0,1,0,0,0,0,0,1,0,0,0,0
28,21,0.545212198763062,15,0,1,1,436,255,1,41,100,100,1,1,1,44,1,1,1,1
37,30,0.545212198763062,27,0,3,0,30,115,1,2,0,0,0,0,1,3,0,0,0,0
28,21,0.545212198763062,15,0,1,1,6840,17264,1,14,100,100,0,1,1,5,0,1,1,1
27,20,0.545212198763062,14,0,1,1,1450,818,1,97,100,100,1,0,1,66,1,1,1,1
28,21,0.545212198763062,15,0,1,1,836,8047,1,191,100,100,0,1,1,78,1,1,1,1
26,19,0.545212198763062,13,0,1,1,489,836,1,59,81.81818182,81.81818182,0,0,0,41,0,1,1,1
34,25,0.545212198763062,16,6,4,1,271,19588,1,5,0,0,1,0,1,31,0,0,0,0
28,21,0.545212198763062,15,0,1,1,16484,9381,1,62,100,100,1,1,1,24,0,0,1,1
23,16,0.545212198763062,10,0,1,1,7667,11362,1,496,100,100,0,0,1,165,1,0,1,1
35,28,0.545212198763062,22,0,1,1,875,9568,1,115,0,0,1,1,1,47,0,1,0,1
25,18,0.545212198763062,12,0,1,1,1690,2676,1,40,100,100,0,0,1,122,1,0,1,1
29,22,0.545212198763062,16,0,1,1,541,1350,1,25,100,100,0,0,1,34,0,0,0,1
28,21,0.545212198763062,15,0,1,1,4175,14762,1,483,0,0,0,0,1,122,1,1,1,1
27,21,0.545212198763062,15,0,1,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0
139,25,0.545212198763062,114,0,17,1,2,1339,1,1,0,0,0,0,1,2,0,0,0,0
29,22,0.545212198763062,16,0,1,1,1133,13873,1,273,0,0,0,1,1,93,1,1,1,1
27,20,0.545212198763062,14,0,1,1,1007,2311,1,141,100,100,1,1,1,54,1,1,1,1
36,27,0.545212198763062,25,0,3,1,129,368,1,3,0,0,0,1,1,2,0,0,0,0
33,26,0.545212198763062,20,0,1,1,534,2534,1,119,100,100,1,1,1,57,1,1,1,1
24,17,0.545212198763062,11,0,1,1,2878,2679,1,51,100,100,0,0,1,152,1,1,1,1
33,26,0.545212198763062,20,0,1,1,1722,4587,1,168,100,100,1,0,0,38,0,1,1,1
24,17,0.545212198763062,11,0,1,1,3859,17863,1,188,100,100,0,0,1,93,1,1,1,1
34,25,0.545212198763062,16,6,4,1,271,20242,1,5,0,0,1,0,1,31,0,0,0,0
29,22,0.545212198763062,16,0,1,1,1114,1415,1,14,100,100,0,0,0,21,1,1,1,1
46,27,0.545212198763062,35,0,4,0,11,85,1,0,0,0,0,0,0,0,0,0,0,0
24,17,0.545212198763062,11,0,1,1,452,2118,1,17,100,100,0,0,0,17,1,1,1,1
36,27,0.545212198763062,18,6,4,1,13,105,1,1,0,0,0,0,0,0,0,0,0,0
32,25,0.545212198763062,19,0,1,1,3193,570,1,77,88.23529412,88.23529412,1,0,1,76,1,1,1,1
28,22,0.545212198763062,16,0,1,0,2,2826,1,2,100,100,0,0,1,1,0,0,0,0
34,28,0.545212198763062,21,0,2,0,49,795,0,2,0,0,0,0,0,3,0,0,0,0
34,25,0.545212198763062,22,0,4,1,2,100000,1,1,0,0,0,0,1,2,0,0,0,0
29,13,0.545212198763062,18,0,3,1,11,85,1,0,0,100,0,0,0,0,0,0,0,0
28,21,0.545212198763062,15,0,1,1,7938,9933,1,1386,100,100,0,0,1,151,1,0,1,1
25,19,0.545212198763062,17,0,1,0,3,273,0,0,0,0,0,0,0,0,0,0,0,0
32,25,0.545212198763062,19,0,1,1,1485,719,1,105,100,100,1,0,1,72,1,1,1,1
27,20,0.545212198763062,14,0,1,1,583,9381,1,227,100,100,1,1,1,63,1,1,1,1
34,25,0.545212198763062,16,6,4,1,273,19948,1,5,0,0,1,0,1,31,0,0,0,0
75,28,0.545212198763062,60,4,4,0,13,123,1,2,0,0,0,0,0,0,0,0,0,0
50,43,0.545212198763062,34,0,4,1,152,1129,1,69,0,0,0,0,1,3,1,0,1,1
33,26,0.545212198763062,20,0,1,1,948,9381,1,219,100,100,1,1,0,71,1,1,1,1
25,19,0.545212198763062,13,0,1,0,2,2826,1,2,100,100,0,0,1,1,0,0,0,0
26,19,0.545212198763062,14,0,1,0,9,78,1,2,100,100,0,0,0,0,0,0,0,0
28,21,0.545212198763062,15,0,1,1,1487,1871,1,219,100,100,1,0,1,87,1,1,1,1
37,16,0.545212198763062,25,0,4,1,2,46,0,0,0,0,0,0,0,0,0,0,0,0
42,33,0.545212198763062,22,6,6,1,68,80,1,1,0,0,0,0,0,0,0,0,0,0
28,20,0.545212198763062,14,0,2,1,2,144,0,0,0,0,0,0,0,0,0,0,0,0
36,27,0.545212198763062,18,6,4,1,273,19961,1,5,0,0,1,0,1,31,0,0,0,0
21,14,0.545212198763062,8,0,1,1,658,2828,1,60,100,100,0,0,0,42,1,1,1,1
25,18,0.545212198763062,12,0,1,1,5095,8047,1,361,100,100,0,1,1,163,1,1,1,1
25,18,0.545212198763062,12,0,1,1,994,1817,1,195,100,100,0,1,1,78,0,1,1,1
36,29,0.545212198763062,23,0,2,0,2,44,0,0,0,0,0,0,0,0,0,0,0,0
36,30,0.545212198763062,23,0,2,0,2,491,1,0,0,0,0,0,0,0,0,0,0,0
28,21,0.545212198763062,15,0,1,1,3623,15291,1,90,100,100,1,0,1,103,1,1,0,1
28,21,0.545212198763062,15,0,1,1,3855,32273,1,113,100,100,1,0,1,43,1,1,1,1
20,13,0.545212198763062,7,0,1,1,342,621,1,6,100,100,0,0,0,11,1,0,1,1
27,20,0.545212198763062,14,0,1,1,5442,6967,1,693,100,100,1,0,0,72,0,1,1,1
26,19,0.545212198763062,13,0,1,1,16840,15213,1,43,100,100,1,0,1,144,1,1,1,1
28,22,0.545212198763062,16,0,1,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0
32,25,0.545212198763062,19,0,1,1,414,466,1,29,0,0,0,0,1,12,0,0,1,1
29,22,0.545212198763062,13,2,2,1,1274,6966,1,186,100,100,1,0,1,67,1,1,1,1
20,13,0.545212198763062,7,0,1,1,1067,1724,1,427,100,100,0,0,0,54,0,1,1,1
19,10,0.545212198763062,9,0,2,1,11,57,1,0,100,100,0,0,0,0,0,0,0,0
32,25,0.545212198763062,19,0,1,1,1521,10936,1,446,100,100,1,1,1,189,1,1,1,1
42,33,0.545212198763062,30,0,4,1,13,73,1,1,0,0,0,0,0,0,0,0,0,0
32,8,0.545212198763062,20,1,4,0,9,91,1,2,0,0,0,0,0,0,0,0,0,0
29,22,0.545212198763062,16,0,1,1,707,232,1,118,100,100,0,0,1,109,1,0,1,1
35,28,0.545212198763062,22,0,1,1,3047,4099,1,121,100,100,0,0,1,95,1,1,1,1
28,21,0.545212198763062,15,0,1,1,907,2678,1,142,100,100,1,1,1,37,1,1,0,1
36,29,0.545212198763062,23,0,1,1,825,19740,1,259,100,100,0,1,1,56,1,1,1,1
41,34,0.545212198763062,28,0,1,1,1479,2039,1,80,0,0,0,1,1,57,0,1,1,1
30,23,0.545212198763062,17,0,1,1,1132,2418,1,84,100,100,1,0,1,22,1,1,1,1
30,23,0.545212198763062,14,3,1,1,6355,32246,1,402,100,100,0,0,1,136,1,1,1,1
24,15,0.545212198763062,14,0,2,1,88,2777,1,1,100,100,0,1,1,1,0,0,0,0
30,23,0.545212198763062,17,0,1,1,371,799,1,54,0,0,1,0,1,3,1,0,1,1
80,21,0.545212198763062,58,5,9,1,12,89,1,0,0,0,0,0,0,0,0,0,0,0
27,20,0.545212198763062,14,0,1,1,395,390,1,38,100,100,1,0,0,41,1,1,0,1
23,17,0.545212198763062,6,4,2,0,8,41,1,0,0,0,0,0,0,0,0,0,0,0
36,27,0.545212198763062,20,5,3,1,6,100000,0,0,4.347826087,4.347826087,0,0,0,0,0,0,0,0
34,25,0.545212198763062,16,6,4,1,273,22394,1,5,0,0,1,0,1,31,0,0,0,0
38,32,0.545212198763062,26,0,1,0,2,2826,1,2,100,100,0,0,1,1,0,0,0,0
24,17,0.545212198763062,11,0,1,1,450,1157,1,25,100,100,0,0,1,21,0,1,1,1
21,14,0.545212198763062,8,0,1,1,977,3103,1,191,100,100,1,1,1,60,1,1,1,1
34,25,0.545212198763062,16,6,4,1,271,19822,1,5,0,0,1,0,1,31,0,0,0,0
151,47,0.545212198763062,77,54,13,0,212,4070,1,2,0,0,0,0,1,1,0,0,1,0
34,26,0.545212198763062,19,4,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
43,37,0.545212198763062,29,0,3,0,3,52,0,0,0,0,0,0,0,0,0,0,0,0
27,20,0.545212198763062,14,0,1,1,826,10047,1,37,100,100,1,0,1,40,1,0,1,1
36,29,0.545212198763062,24,0,1,0,15,155,1,0,100,100,0,0,1,0,0,0,0,0
30,22,0.545212198763062,19,0,3,1,2,39,0,0,0,0,0,0,0,0,0,0,0,0
22,15,0.545212198763062,9,0,1,1,1112,4468,1,87,100,100,1,1,1,33,1,1,0,1
53,45,0.545212198763062,40,0,5,1,44,546,0,1,0,0,0,0,0,1,0,0,0,0
110,15,0.545212198763062,83,8,11,1,56,26511,1,4,0,0,1,0,1,2,0,0,0,0
35,28,0.545212198763062,21,0,2,1,2835,5693,1,932,100,100,1,1,1,163,1,1,1,1
27,20,0.545212198763062,14,0,1,1,2643,26709,1,533,100,100,0,0,1,50,1,1,1,1
23,16,0.545212198763062,10,0,1,1,186,792,1,63,100,100,1,1,1,7,1,0,1,1
24,17,0.545212198763062,11,0,1,1,246,4275,1,81,100,100,0,1,1,29,1,1,1,1
27,21,0.545212198763062,15,0,1,0,2,37,0,0,0,0,0,0,0,0,0,0,0,0
21,14,0.545212198763062,7,0,2,1,2850,9381,1,197,100,100,0,1,1,49,1,1,1,1
33,26,0.545212198763062,20,0,1,1,1332,6349,1,101,100,100,0,0,1,64,1,1,1,1
24,17,0.545212198763062,11,0,1,1,660,4296,1,141,100,100,1,1,1,58,1,1,1,1
24,18,0.545212198763062,12,0,1,0,15,155,1,0,100,100,0,0,1,0,0,0,0,0
41,35,0.545212198763062,27,0,3,0,29,136,1,0,0,0,0,0,0,0,0,0,0,0
33,26,0.545212198763062,20,0,1,1,410,8047,1,173,100,100,0,1,1,29,1,1,1,1
93,44,0.545212198763062,69,0,13,0,244,211,1,0,0,0,0,0,1,4,0,0,0,0
32,25,0.545212198763062,19,0,1,1,206,4492,1,26,100,100,0,0,0,14,1,1,1,1
38,29,0.545212198763062,20,6,4,1,13,109,1,1,0,0,0,0,0,0,0,0,0,0
25,19,0.545212198763062,11,0,3,0,14,221,0,1,0,0,0,0,0,1,0,0,0,0
36,29,0.545212198763062,23,0,1,1,454,896,1,103,0,0,0,0,1,29,1,0,0,1
28,21,0.545212198763062,14,0,2,1,385,9850,1,172,100,100,0,1,1,29,1,0,1,1
26,19,0.545212198763062,13,0,1,1,18848,32759,1,493,100,100,1,1,1,4968,1,0,1,1
28,21,0.545212198763062,15,0,1,1,1845,34189,1,361,100,100,1,1,1,190,1,1,0,1
24,17,0.545212198763062,12,0,1,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0
24,17,0.545212198763062,11,0,1,1,935,4311,1,108,100,100,1,1,1,35,1,1,1,1
27,20,0.545212198763062,13,0,2,1,1354,9381,1,325,100,100,1,1,1,36,1,1,1,1
28,22,0.545212198763062,16,0,1,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0
28,21,0.545212198763062,15,0,1,1,271,1912,1,45,100,100,1,0,1,35,0,0,1,1
24,17,0.545212198763062,11,0,1,1,338,609,1,60,100,100,1,1,1,26,1,1,0,1
24,11,0.545212198763062,14,0,2,1,65,163,1,10,0,91.66666667,1,0,1,4,1,0,0,0
37,30,0.545212198763062,24,0,2,0,11,78,1,1,0,0,0,0,0,0,0,0,0,0
27,20,0.545212198763062,14,0,1,1,2045,48658,1,277,100,100,0,1,0,126,1,1,1,1
25,19,0.545212198763062,16,0,2,0,11,79,1,2,0,0,0,0,0,0,0,0,0,0
27,20,0.545212198763062,14,0,1,1,803,10397,1,114,100,100,0,1,1,78,1,1,1,1
92,19,0.545212198763062,70,10,4,1,2,156,0,0,0,0,0,0,0,0,0,0,0,0
71,11,0.545212198763062,47,12,4,1,40,429,1,14,0,100,1,1,0,15,0,0,0,0
28,21,0.545212198763062,15,0,1,1,255,2289,1,89,100,100,0,1,1,41,1,0,1,1
24,17,0.545212198763062,11,0,1,1,2243,15052,1,85,100,100,1,0,1,68,1,1,0,1
31,24,0.545212198763062,17,0,2,1,1402,2706,1,115,100,100,0,1,1,42,1,1,1,1
23,16,0.545212198763062,10,0,1,1,11085,17366,1,367,100,100,1,0,1,215,1,1,0,1
55,47,0.545212198763062,39,1,7,1,45,117,1,0,0,0,0,0,0,1,0,0,0,0
26,19,0.545212198763062,13,0,1,1,850,980,1,234,100,100,0,0,1,83,1,1,1,1
33,26,0.545212198763062,20,0,1,1,989,15087,1,67,100,100,1,0,1,52,1,1,1,1
20,13,0.545212198763062,3,4,1,1,2,32,0,0,0,0,0,0,0,0,0,0,0,0
28,20,0.545212198763062,18,0,3,0,13,95,1,2,0,0,0,0,0,0,0,0,0,0
29,22,0.545212198763062,16,0,1,1,2352,6831,1,65,100,100,1,1,0,332,1,1,1,1
38,30,0.545212198763062,25,3,2,1,129,368,1,3,0,0,0,1,1,2,0,0,0,0
20,12,0.545212198763062,11,0,2,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0
30,23,0.545212198763062,17,0,1,1,684,8043,1,96,100,100,0,1,1,90,1,1,1,1
31,24,0.545212198763062,17,0,2,1,1660,706,1,83,100,100,0,0,1,45,1,1,1,1
26,20,0.545212198763062,14,0,1,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0
25,18,0.545212198763062,12,0,1,1,1105,1911,1,128,100,100,1,0,1,44,1,1,1,1
34,27,0.545212198763062,20,0,2,1,302,338,1,46,0,0,0,0,1,13,0,0,1,1
26,19,0.545212198763062,13,0,1,1,526,3621,1,22,100,100,0,0,1,23,1,1,1,1
26,19,0.545212198763062,13,0,1,1,2717,51322,1,307,100,100,1,0,1,112,1,1,1,1
34,27,0.545212198763062,21,0,1,1,2132,9455,1,89,100,100,0,1,1,149,1,0,1,1
26,19,0.545212198763062,13,0,1,1,2881,5298,1,162,100,100,1,0,1,148,1,1,1,1
20,13,0.545212198763062,7,0,1,1,1301,2101,1,25,100,100,0,1,0,11,1,1,0,1
43,34,0.545212198763062,31,0,4,1,2,102,0,0,0,0,0,0,0,0,0,0,0,0
18,11,0.545212198763062,5,0,1,1,500,408,1,79,100,100,1,0,1,11,1,0,1,1
77,18,0.545212198763062,49,8,9,0,9,128,1,2,0,0,0,0,0,0,0,0,0,0
74,19,0.545212198763062,47,11,8,1,163,386,1,0,0,0,1,0,1,6,0,0,0,0
33,26,0.545212198763062,20,0,1,1,775,9381,1,111,100,100,1,1,1,58,1,1,1,1
30,23,0.545212198763062,17,0,1,1,1403,1820,1,203,100,100,1,1,1,81,1,1,1,1
167,15,0.545212198763062,124,15,20,1,10,36838,1,4,0,0,1,0,1,4,0,0,1,0
21,14,0.545212198763062,8,0,1,1,1791,5065,1,123,100,100,1,0,1,171,0,1,1,1
45,36,0.545212198763062,31,3,3,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
26,19,0.545212198763062,13,0,1,1,1060,341,1,82,100,100,0,0,1,74,0,1,1,1
34,25,0.545212198763062,16,6,4,1,13,101,1,1,0,0,0,0,0,0,0,0,0,0
33,19,0.545212198763062,21,0,4,1,35,126,1,0,0,0,0,1,1,1,0,0,0,0
21,15,0.545212198763062,9,0,1,0,9,43,1,0,100,100,0,0,0,0,0,0,0,0
26,20,0.545212198763062,13,0,2,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0
28,21,0.545212198763062,15,0,1,1,2508,408,1,80,100,100,1,0,1,130,0,1,1,1
22,15,0.545212198763062,9,0,1,1,409,217,1,24,100,100,1,0,1,22,1,0,1,1
34,26,0.545212198763062,24,0,2,1,108,8125,1,3,0,0,0,0,1,0,0,0,0,0
23,11,0.545212198763062,13,0,2,1,9,74,1,2,0,100,0,0,0,0,0,0,0,0
29,22,0.545212198763062,16,0,1,1,433,330,1,13,100,100,0,0,1,16,1,1,1,1
58,39,0.545212198763062,41,1,8,1,68,1565,1,3,0,0,0,0,1,8,0,0,0,0
